id,name,city,category,lat,lng,note,website,created_at
"188","Carmel Valley Coffee Roasting Co.","Carmel","artisan","36.55493","-121.92375","Local organic coffee roaster founded in 1994 with three Carmel locations; this pin is the Ocean Avenue cafe between Lincoln and Monte Verde. Small-batch beans, espresso drinks, sandwiches, and an easy sidewalk stop before wandering Carmel-by-the-Sea.","https://carmelcoffeeroasters.com","2026-04-16 23:23:38.862553"
"224","Carmel Valley Creamery","Carmel Valley","artisan","36.473553","-121.72808","Micro-creamery, coffee shop, and mini epicerie in the historic Village community center at 1 Esquiline Road. Cheesemaker Sophie Hauville's operation makes artisan cheese on site, with coffee, pastries, ice cream, and a patio that fits the slow-food character of Carmel Valley.","https://www.carmelvalleycreameryco.com","2026-05-02 21:24:13.886169"
"228","Ad Astra Bread Co.","Monterey","artisan","36.59819","-121.894615","Serious artisan bread on Alvarado Street in downtown Monterey. Open daily 7am to 4pm, with sourdough loaves, pastries, coffee drinks, and baking classes from a focused bakery that takes the craft seriously. The name means 'to the stars.' At 479 Alvarado St.","https://www.adastrabread.com","2026-05-03 01:17:59.824501"
"218","Alvarado Street Brewery & Grill","Monterey","artisan","36.5993","-121.89481","Downtown Monterey's anchor craft brewery at 426 Alvarado St. The kitchen leans locally sourced and the beer program is still hop-forward -- West Coast IPAs are the calling card -- but the lagers, Belgian-inspired beers, and experimental batches give it more range than a simple brewpub stop.","https://asb.beer","2026-04-19 22:50:45.818301"
"201","Monterey Abalone Company","Monterey","artisan","36.60506","-121.88942","In-ocean abalone farm at 160 Municipal Wharf #2. Art Seavey and Trevor Fay cultivate California red abalone in cages suspended beneath Monterey's commercial wharf, using the bay itself rather than land tanks. Call ahead for tours or direct purchases; operating hours can shift with harvest and holidays.","https://montereyabalone.com","2026-04-17 21:12:54.365094"
"202","Parker-Lusseau Pastries","Monterey","artisan","36.59614","-121.895546","Historic Fremont Adobe bakery/cafe at 539 Hartnell St. Parker-Lusseau remains the Peninsula's French pastry benchmark: croissants, cakes, tarts, breads, quiche, sandwiches, and coffee made with the discipline that keeps local regulars showing up early. Open Monday-Saturday; closed Sunday.","https://parkerlusseau.com","2026-04-17 21:12:58.221968"
"219","The Wild Plum Cafe","Monterey","artisan","36.594864","-121.89309","Organic, sustainable cafe and bakery at 731 Munras Ave, Suite B. Not a vegetarian-only spot: the draw is house-baked bread, breakfast and lunch plates, sandwiches, salads, pastries, and a full espresso bar rooted in local, handcrafted ingredients.","https://www.thewildplumcafe.com","2026-04-19 22:50:45.818301"
"217","Happy Girl Kitchen Co.","Pacific Grove","artisan","36.61854","-121.906525","Fermentation studio, cannery, and cafe at 173 Central Ave. Small-batch preserves, pickles, kimchi, fermented vegetables, and pantry goods made from farm-driven ingredients, plus whole-food breakfast and lunch and recurring workshops for people who want to learn the craft.","https://happygirlkitchen.com","2026-04-19 22:50:45.818301"
"187","Carmel Farmers Market at The Barnyard","Carmel","farmstand","36.540726","-121.90754","Seasonal Monterey Bay Certified Farmers Market at The Barnyard Shopping Village, Highway 1 and Carmel Valley Road. More than 25 farmers and specialty-food vendors, Tuesday 9am to 1pm, May through September, rain or shine.","https://montereybayfarmers.org/carmel-farmers-market","2026-04-16 23:23:38.862553"
"216","Pezzini Farms","Castroville","farmstand","36.74293","-121.76883","Castroville artichoke institution at 460 Nashua Road, not Merritt Street. Pezzini has grown heirloom Green Globe artichokes for decades and runs a year-round roadside market with fresh artichokes, produce, artichoke foods, and cooking advice from people who actually know the crop.","https://pezzinifarms.com","2026-04-19 22:50:45.818301"
